Column1,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
11910,Austin Rivers,DEN,29,193.04,90.7184,Duke,USA,2012,1,10,67,6,1.7,1.3,1.9,0.014,0.063,0.123,0.546,0.082,2021-22
11746,Dewayne Dedmon,MIA,32,213.36,111.13004,Southern California,USA,Undrafted,Undrafted,Undrafted,67,6.3,5.8,0.7,3.5,0.1,0.251,0.164,0.632,0.069,2021-22
11815,JaMychal Green,DEN,32,203.2,102.965384,Alabama,USA,Undrafted,Undrafted,Undrafted,67,6.4,4.2,0.9,-3.5,0.073,0.187,0.168,0.587,0.084,2021-22
11713,Furkan Korkmaz,PHI,24,200.66,91.625584,None,Turkey,2016,1,26,67,7.6,2.6,1.9,0.8,0.015,0.104,0.17,0.502,0.129,2021-22
11875,Cam Thomas,BKN,20,190.5,95.25432,Louisiana State,Japan,2021,1,27,67,8.5,2.4,1.2,-6.4,0.013,0.118,0.212,0.519,0.102,2021-22
11771,Isaac Okoro,CLE,21,195.58,102.0582,Auburn,USA,2020,1,5,67,8.8,3,1.8,3.1,0.037,0.065,0.123,0.589,0.083,2021-22
12054,Oshae Brissett,IND,24,200.66,95.25432,Syracuse,Canada,Undrafted,Undrafted,Undrafted,67,9.1,5.3,1.1,-6,0.065,0.165,0.166,0.53,0.064,2021-22
11846,Jae Crowder,PHX,31,198.12,106.59412,Marquette,USA,2012,2,34,67,9.4,5.3,1.9,10.2,0.017,0.16,0.146,0.541,0.08,2021-22
12026,Spencer Dinwiddie,DAL,29,198.12,97.52228,Colorado,USA,2014,2,38,67,13.7,4.2,5.2,-1,0.022,0.111,0.208,0.543,0.27,2021-22
11840,Jalen Green,HOU,20,193.04,84.368112,None,USA,2021,1,2,67,17.3,3.4,2.6,-11.3,0.015,0.088,0.234,0.547,0.132,2021-22
12193,Jrue Holiday,MIL,32,190.5,92.98636,UCLA,USA,2009,1,17,67,18.3,4.5,6.8,8.5,0.031,0.1,0.231,0.593,0.297,2021-22
12078,Zach LaVine,CHI,27,195.58,90.7184,UCLA,USA,2014,1,13,67,24.4,4.6,4.5,-0.9,0.01,0.121,0.284,0.605,0.207,2021-22
11742,Donovan Mitchell,UTA,25,185.42,97.52228,Louisville,USA,2017,1,13,67,25.9,4.2,5.3,5.9,0.024,0.096,0.322,0.572,0.267,2021-22
11724,Giannis Antetokounmpo,MIL,27,210.82,109.769264,None,Greece,2013,1,15,67,29.9,11.6,5.8,8,0.06,0.267,0.34,0.633,0.304,2021-22
11809,Isaiah Hartenstein,LAC,24,213.36,113.398,None,Germany,2017,2,43,68,8.3,4.9,2.4,7,0.097,0.158,0.177,0.664,0.193,2021-22
12066,Reggie Bullock,DAL,31,198.12,92.98636,North Carolina,USA,2013,1,25,68,8.6,3.5,1.2,6.6,0.017,0.106,0.128,0.558,0.06,2021-22
11712,Gabe Vincent,MIA,26,190.5,90.7184,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,68,8.7,1.9,3.1,3.1,0.014,0.064,0.174,0.551,0.198,2021-22
12288,Max Strus,MIA,26,195.58,97.52228,DePaul,USA,Undrafted,Undrafted,Undrafted,68,10.6,3,1.4,5.6,0.016,0.112,0.177,0.614,0.086,2021-22
11842,Jakob Poeltl,SAS,26,215.9,111.13004,Utah,Austria,2016,1,9,68,13.5,9.3,2.8,3.4,0.125,0.184,0.182,0.613,0.131,2021-22
11965,Christian Wood,HOU,26,205.74,97.068688,UNLV,USA,Undrafted,Undrafted,Undrafted,68,17.9,10.1,2.3,-9.1,0.051,0.265,0.233,0.595,0.124,2021-22
11955,Dejounte Murray,SAS,25,193.04,81.64656,Washington,USA,2016,1,29,68,21.1,8.3,9.2,1.9,0.031,0.196,0.268,0.533,0.388,2021-22
11937,Darius Garland,CLE,22,185.42,87.089664,Vanderbilt,USA,2019,1,5,68,21.7,3.3,8.6,6.6,0.017,0.074,0.272,0.576,0.378,2021-22
12048,Pascal Siakam,TOR,28,203.2,104.32616,New Mexico State,Cameroon,2016,1,27,68,22.8,8.5,5.3,4.8,0.046,0.182,0.257,0.565,0.224,2021-22
11990,Devin Booker,PHX,25,195.58,93.439952,Kentucky,USA,2015,1,13,68,26.8,5,4.8,9.5,0.02,0.117,0.313,0.576,0.212,2021-22
11796,Joel Embiid,PHI,28,213.36,127.00576,Kansas,Cameroon,2014,1,3,68,30.6,11.7,4.2,7.9,0.068,0.273,0.375,0.616,0.236,2021-22
